Name,Adresse,Telefonnummer,Email,Kinder,Verheiratet
Klaus-Dieter Kusch,"Trudi-Kabus-Straße 441, 62699 Waren",+49(0)0587 34387,bruno00@sontag.com,1,True
Hubertus Eigenwillig,"Augustin-Schottin-Gasse 8, 14494 Aachen",08269 97106,hans-peter16@ernst.net,0,True
Karl-Jürgen Lachmann-Seifert,"Adriane-Finke-Ring 23, 61326 Ebersberg",+49(0)0811 387890,wanda09@stahr.com,1,False
Wiebke Trubin-Hermann,"Alena-Bolzmann-Platz 198, 46151 Burg",06234 99804,langernveli@aol.de,0,False
Frieder Drewes,"Wesackweg 9, 72008 Königs Wusterhausen",+49(0)3313 645724,svetlana90@wirth.com,3,False
Annita Bolzmann,"Haufferweg 175, 43691 Melsungen",+49(0)2692695136,ackermannharriet@gmx.de,3,False
Carina Bolzmann,"Faustgasse 55, 82447 Halberstadt",01260 123955,gjunitz@gmail.com,3,False
Dr. Korinna Hethur MBA.,"Loosring 7/5, 63191 Parsberg",0205265319,tberger@kohl.net,0,True
Luitgard Hövel,"Reuterstr. 84, 83516 Dachau",0711854835,ghaering@schaaf.com,2,True
Agnieszka Geisel,"Gierschnerstr. 80, 92246 Hannoversch Münden",+49(0)5481551311,sbudig@caspar.com,4,True
Knud Hauffer B.A.,"Pergandegasse 511, 19737 Feuchtwangen",04708 58076,annemarie73@googlemail.com,2,True
Prof. Guntram Pieper,"Stiffelallee 7/4, 71233 Lörrach",03489 27754,ehornig@dussen.com,3,False
Prof. Karl-Heinrich Kusch B.A.,"Sabrina-Gumprich-Straße 983, 22555 Kitzingen",03293 75489,warmernuran@gmx.de,0,False
Matteo Bender,"Herrmannstr. 6, 87081 Peine",00777963354,heinz-juergenmeyer@nerger.de,2,True
Univ.Prof. Nermin Scheuermann,"Misichergasse 1, 62261 Hagenow",+49(0)1224 794499,egutknecht@hotmail.de,1,True
Prof. Meik Bien B.Sc.,"Beyergasse 03, 61814 Wittmund",0872551281,franz-josef51@yahoo.de,2,True
Tino Weinhage,"Faruk-Preiß-Weg 7, 62332 Mittweida",+49(0)6104 892279,oestrovskyadelinde@web.de,2,False
Marika Schulz,"Falk-Köster-Gasse 0, 52322 Norden",01338 407389,muharrem57@aol.de,0,True
Dipl.-Ing. Kordula Holt,"Siegward-Rörricht-Allee 29, 17718 Prenzlau",+49 (0) 0158 571213,heinz-josefhornich@aol.de,1,True
Rosemarie Finke B.Eng.,"Stiebitzstraße 6/1, 76556 Calau",01705312330,whaenel@kabus.de,2,False
Prof. Ljudmila Heydrich,"Wellerallee 4, 03009 Sonneberg",07939 301285,danuta33@gmail.com,2,True
Hella Adolph B.A.,"Handeplatz 5, 56453 Hofgeismar",+49(0)5033 362317,qbeckmann@googlemail.com,2,False
Dr. Christian Rosenow MBA.,"Schomberstraße 1, 81356 Bamberg",+49(0)3093581359,petra38@kabus.com,3,True
Ivan Stahr,"Bohlanderstraße 8/7, 28571 Norden",(03514) 35636,janos16@yahoo.de,2,False
Ignaz Schleich-Ring,"Etzlerstraße 8, 17860 Hainichen",+49(0)6169 39048,paertzeltwally@gmail.com,0,True
Frieda Keudel,"Kitzmannring 32, 87935 Pegnitz",08623 825874,gittekallert@rudolph.net,0,True
Pawel Döring,"Birgid-Jäntsch-Allee 3, 18182 Genthin",+49(0)8978 076041,gdehmel@albers.net,1,False
Ingmar Schinke,"Hatice-Ladeck-Gasse 041, 31357 Höxter",00805 314911,vjacobi-jaeckel@kohl.de,2,True
Massimo Schuster,"Willy-Hänel-Straße 975, 87330 Altentreptow",(00764) 48996,khoerle@web.de,3,True
Alwina Döring MBA.,"Ekkehard-Lachmann-Weg 3/2, 82831 Günzburg",+49(0)7454 46552,franco85@junck.de,0,True
Tamara Trommler,"Preißstr. 8, 22550 Schwäbisch Gmünd",(06702) 257731,omeister@conradi.de,2,False
Dr. Ernst-August Mentzel B.A.,"Bolanderplatz 5/4, 94115 Apolda",05569 228577,anja13@gutknecht.de,3,True
Ing. Carin Hertrampf B.Eng.,"Kuschstr. 421, 40864 Zeulenroda",(03600) 89206,pruppert@caspar.org,0,False
Stephanie Flantz B.Sc.,"Aysel-Kohl-Platz 8, 68172 Vechta",01874 19161,ruppersbergerannedore@googlemail.com,4,False
